//當代中文/Book 1/L01-I		
陳月美	Chén Yuèměi	a woman from Vietnam
令	lìng	(Vst) to cause, make, let
擔憂	dānyōu	(Vst) worried, concerned
歐洲癌症護理雜誌	Ōuzhōu Áizhèng Hùlǐ Zázhì	(N) European Journal of Cancer Care
數字	shùzì	(N) number, figures
周圍	zhōuwéi	(N) around, surrounding, on the periphery
罹癌	lí'ái'	(Vp) to be stricken with cancer
偏	piān	(Adv) slightly
青少年	qīngshàonián	(N) adolescents
細胞	xìbāo	(N) cell
製造	zhìzào	(V) to manufacture, produce, make
廢料	fèiliào	(N) waste, waste materials
可行	kěxíng	(Vs) feasible
偏遠	piānyuǎn	(Vs) rural, distant
任誰	rèn shéi	(Ph) anybody
因應	yīnyìng	(V) to deal with, handle
再生能源	zàishēng néngyuán	(Ph) renewable energy
妥善	tuǒshàn	(Adv) adequately, properly
頭痛	tóutòng	(Vs) a headache, a pain
無解	wújiě	(Vs) have no solution, be unsolvable
難題	nántí	(N) difficult problem, tough problem
正確	zhèngquè	(Vs) accurate
//當代中文/Book 5/L09-II		
環保	huánbǎo	(Vs) environmentally friendly
聯想	liánxiǎng	(Vi) to associate with in the mind, think of
事故	shìgù	(N) accident
運作	yùnzuò	(N) operation
疏失	shūshī	(N) negligence
視為	shìwéi	(Vst) to regard as
一概而論	yígài érlùn	(Id) to make sweeping generalizations
定時	dìngshí	(Vs-attr) to be fixed in time ( 定時炸彈 = time bomb)
風力	fēnglì	(N) wind power
水力	shuǐlì	(N) water power, hydropower
火力	huǒlì	(N) thermal power
太陽能	tàiyángnéng	(N) solar power
相比	xiāng bǐ	(Vi) to be compared to
機率	jīlǜ	(N) chance (of something happening), likelihood
雷	léi	(N) lightning
碳	tàn	(N) carbon
排放量	páifàngliàng	(N) emissions
有利	yǒulì	(Vs) beneficial to
二氧化碳	èryǎnghuàtàn	(N) carbon dioxide
溫室	wēnshì	(N) greenhouse
效應	xiàoyìng	(N) effect
河流	héliú	(N) river
魚類	yúlèi	(N) fish
噪音	zàoyīn	(N) noise
地熱	dìrè	(N) geothermal
成熟	chéngshóu	(Vp) mature
解決之道	jiějué zhīdào	(Id) solution
收取	shōuqǔ	(V) to charge, collect
高額	gāo'é'	(Vs-attr) high (amount of money, tariff, profit, etc.)
惹	rě	(V) to cause, provoke, incur, stir up
民怨	mínyuàn	(N) popular discontent, public anger
工業	gōngyè	(N) industry
停擺	tíngbǎi	(Vp) to stop, to come to a halt
倒退	dàotuì	(Vp) to reverse, regress
效率	xiàolǜ	(N) efficiency
供	gōng	(V) to supply
外商	wàishāng	(N) foreign company/businessman
優良	yōuliáng	(Vs) fine, excellent, good
民生	mínshēng	(N) people's well-being/livelihood'
效益	xiàoyì	(N) benefit
設備	shèbèi	(N) equipment
隱憂	yǐnyōu	(N) hidden concerns, worries
綠色	lǜsè	(N) green (color)
替代	tìdài	(V) alternative
//當代中文/Book 5/L10-I		
同性	tóngxìng	(Vs-attr) to be of the same gender
主播	zhǔbò	(N) newscaster, anchor
記者	jìzhě	(N) reporter, journalist, correspondent
連線	liánxiàn	(Vi) to be online with, be connected with
傳達	chuándá	(V) to convey
陣線	zhènxiàn	(N) ranks, front
發起	fāqǐ	(V) to initiate, launch, start
盡快	jìnkuài	(Adv) as soon/quickly as possible
同性戀	tóngxìngliàn	(N) homosexual, gay
異性戀	yìxìngliàn	(N) heterosexual, straight
相同	xiāngtóng	(Vs) identical
相愛	xiāng'ài'	(Vs) in love, to love each other
核心	héxīn	(N) core
伴侶	bànlǚ	(N) companion, mate, partner
無關	wúguān	(Vs) to have nothing to do with, be unrelated
打破	dǎpò	(V) to break, shatter
平權	píngquán	(N) equal rights
藉由	jièyóu	(Prep) through, by
節稅	jiéshuì	(Vi) to reduce, save on taxes
病危	bìngwéi	(Vs) critically ill
簽署	qiānshù	(V) to sign
文件	wénjiàn	(N) document
彼此	bǐcǐ	(N) each other, one another
親密	qīnmì	(Vs) intimate
伙伴	huǒbàn	(N) partner
陌生	mòshēng	(Vs) unacquainted, not mutually known
性病	xìngbìng	(N) sexually transmitted disease, STD
偏見	piānjiàn	(N) prejudice, bias
身上	shēnshàng	(N) himself, themselves
異性	yìxìng	(Vs-attr) opposite sex
有情人終成眷屬	yǒuqíngrén zhōngchéng juànshǔ	(Id) the lovers finally got married, every Jack has his Jill
末日	mòrì	(N) the end of the world
擴大	kuòdà	(V) to expand
範圍	fànwéi	(N) scope, range, extent
心聲	xīnshēng	(N) heartfelt wishes, aspirations
法案	fǎ'àn'	(N) bill, act
//當代中文/Book 5/L10-II		
鏡頭	jìngtóu	(N) lens, shot, scene
聯邦	liánbāng	(N) federal, federation, union
彩虹	cǎihóng	(N) rainbow
旗	qí	(N) flag, banner, standard
時刻	shíkè	(N) moment (in time)
駐外	zhùwài	(Vi) to be stationed abroad
歡慶	huānqìng	(V) to celebrate
擠進	jǐjìn	(Vpt) to crowd in, squeeze in
生物	shēngwù	(N) biology
本能	běnnéng	(N) instinct
繁衍	fányǎn	(V) to reproduce, propagate
尋找	xúnzhǎo	(V) to search for, seek
交配	jiāopèi	(Vi) to mate, copulate
法則	fǎzé	(N) law (natural, not legal laws)
定義	dìngyì	(N/V) definition; to define
互補	hùbǔ	(Vs) to complement each other
組合	zǔhé	(N/V) combination; to combine
全體	quántǐ	(N) as a whole, whole, entire, overall
詞彙	cíhuì	(N) word, term, vocabulary
稱呼	chēnghū	(V/N) to call; address, name
建構	jiàngòu	(V) to build, construct
革命	gémìng	(N/Vi) revolution; to have a revolution
做為	zuòwéi	(Vst) to serve as
無視	wúshì	(V) to disregard, defy
干涉	gānshè	(V) to interfere
邏輯	luójí	(N) logic
納入	nàrù	(V) to incorporate, include
第三者	dìsānzhě	(Ph) “third party” (i.e., the “other man/woman”)
原則	yuánzé	(N) principle
無異	wúyì	(Vs) not different from, the same as, tantamount to
形式	xíngshì	(N) form
亂倫	luànlún	(N) incest
不倫	bùlún	(N) immorality
白宮	Báigōng	(N) White House
巴黎鐵塔	Bālí Tiětǎ	(Ph) Eiffel Tower
打上	dǎshàng	(V) to shine up on
燈光	dēngguāng	(N) lights
不容忽視	bùróng hūshì	(Id) cannot ignore, should not be ignored
有賴	yǒulài	(Vst) to depend on, contingent on
各界	gèjiè	(N) all walks of life, the public
對話	duìhuà	(Vi) to engage in dialogues
激辯	jībiàn	(Vi) to engage in robust debate, wrangle
交還	jiāohuán	(V) to give back to, to return to
//當代中文/Book 6/L01-I
職校	zhíxiào	(N) speaking vocational school
//當代中文/Book 6/L01-II
//當代中文/Book 6/L02-I
//當代中文/Book 6/L02-II
//當代中文/Book 6/L03-I
//當代中文/Book 6/L03-II
//當代中文/Book 6/L04-I
//當代中文/Book 6/L04-II
//當代中文/Book 6/L05-I
//當代中文/Book 6/L05-II
//當代中文/Book 6/L06-I
//當代中文/Book 6/L06-II
//當代中文/Book 6/L07-I
//當代中文/Book 6/L07-II
//當代中文/Book 6/L08-I
//當代中文/Book 6/L08-II
